md_ft,inclination_deg,azimuth_deg,tvd_ft,tvd_ss_ft,dx_east_ft,dy_north_ft,dls_deg_100ft
0.0,0.0,0.0,0.0,-128.0,0.0,0.0,0.0
100.0,0.0,0.0,100.0,-28.0,0.0,0.0,0.0
200.0,0.0,0.0,200.0,72.0,0.0,0.0,0.0
300.0,0.0,0.0,300.0,172.0,0.0,0.0,0.0
400.0,0.0,0.0,400.0,272.0,0.0,0.0,0.0
500.0,0.0,0.0,500.0,372.0,0.0,0.0,0.0
600.0,0.0,0.0,600.0,472.0,0.0,0.0,0.0
700.0,0.0,0.0,700.0,572.0,0.0,0.0,0.0
800.0,0.0,0.0,800.0,672.0,0.0,0.0,0.0
900.0,0.0,0.0,900.0,772.0,0.0,0.0,0.0
1000.0,0.0,0.0,1000.0,872.0,0.0,0.0,0.0
1100.0,0.0,0.0,1100.0,972.0,0.0,0.0,0.0
1200.0,0.0,0.0,1200.0,1072.0,0.0,0.0,0.0
1300.0,0.0,0.0,1300.0,1172.0,0.0,0.0,0.0
1400.0,0.0,0.0,1400.0,1272.0,0.0,0.0,0.0
1500.0,0.0,0.0,1500.0,1372.0,0.0,0.0,0.0
1600.0,0.0,0.0,1600.0,1472.0,0.0,0.0,0.0
1700.0,0.0,0.0,1700.0,1572.0,0.0,0.0,0.0
1800.0,0.0,0.0,1800.0,1672.0,0.0,0.0,0.0
1900.0,0.0,0.0,1900.0,1772.0,0.0,0.0,0.0
2000.0,0.0,0.0,2000.0,1872.0,0.0,0.0,0.0
2100.0,0.0,0.0,2100.0,1972.0,0.0,0.0,0.0
2200.0,0.0,0.0,2200.0,2072.0,0.0,0.0,0.0
2300.0,0.0,0.0,2300.0,2172.0,0.0,0.0,0.0
2400.0,0.0,0.0,2400.0,2272.0,0.0,0.0,0.0
2500.0,0.0,0.0,2500.0,2372.0,0.0,0.0,0.0
2600.0,0.0,0.0,2600.0,2472.0,0.0,0.0,0.0
2700.0,0.0,0.0,2700.0,2572.0,0.0,0.0,0.0
2800.0,0.0,0.0,2800.0,2672.0,0.0,0.0,0.0
2900.0,0.0,0.0,2900.0,2772.0,0.0,0.0,0.0
3000.0,0.0,0.0,3000.0,2872.0,0.0,0.0,0.0
3100.0,0.0,0.0,3100.0,2972.0,0.0,0.0,0.0
3200.0,0.0,0.0,3200.0,3072.0,0.0,0.0,0.0
3300.0,0.0,0.0,3300.0,3172.0,0.0,0.0,0.0
3400.0,0.0,0.0,3400.0,3272.0,0.0,0.0,0.0
3500.0,0.0,0.0,3500.0,3372.0,0.0,0.0,0.0
3600.0,0.0,0.0,3600.0,3472.0,0.0,0.0,0.0
3700.0,0.0,0.0,3700.0,3572.0,0.0,0.0,0.0
3800.0,0.0,0.0,3800.0,3672.0,0.0,0.0,0.0
3900.0,0.0,0.0,3900.0,3772.0,0.0,0.0,0.0
4000.0,0.0,0.0,4000.0,3872.0,0.0,0.0,0.0
4100.0,0.0,0.0,4100.0,3972.0,0.0,0.0,0.0
4200.0,0.0,0.0,4200.0,4072.0,0.0,0.0,0.0
4300.0,0.0,0.0,4300.0,4172.0,0.0,0.0,0.0
4400.0,0.0,0.0,4400.0,4272.0,0.0,0.0,0.0
4500.0,0.0,141.01,4500.0,4372.0,0.0,0.0,0.0
4600.0,1.76,141.32,4599.95,4471.95,1.92,-2.4,1.76
4700.0,3.53,142.64,4699.76,4571.76,5.65,-7.29,1.77
4800.0,5.29,141.97,4799.34,4671.34,11.33,-14.55,1.76
4900.0,7.05,142.09,4898.58,4770.58,18.88,-24.23,1.76
5000.0,8.81,141.46,4997.4,4869.4,28.42,-36.22,1.77
5100.0,10.58,142.08,5095.7,4967.7,39.7,-50.7,1.77
5200.0,12.34,142.49,5193.39,5065.39,52.72,-67.65,1.76
5300.0,14.1,142.46,5290.38,5162.38,67.56,-86.97,1.76
5400.0,15.86,140.86,5386.57,5258.57,84.82,-108.17,1.81
5500.0,17.63,142.58,5481.87,5353.87,103.22,-132.22,1.84
5600.0,19.39,141.34,5576.2,5448.2,123.96,-158.15,1.8
5700.0,21.15,143.08,5669.46,5541.46,145.64,-187.0,1.86
5800.0,22.92,142.2,5761.57,5633.57,169.5,-217.76,1.8
5900.0,24.68,143.14,5852.44,5724.44,194.55,-251.17,1.8
6000.0,26.44,142.6,5941.98,5813.98,221.59,-286.55,1.78
6100.0,28.2,141.03,6030.1,5902.1,251.31,-323.29,1.91
6200.0,29.97,142.78,6116.73,5988.73,281.53,-363.07,1.96
6300.0,31.73,141.08,6201.79,6073.79,314.57,-403.98,1.96
6400.0,33.49,142.0,6285.18,6157.18,348.55,-447.47,1.83
6500.0,35.26,142.66,6366.84,6238.84,383.55,-493.36,1.8
6600.0,37.02,141.76,6446.69,6318.69,420.82,-540.65,1.84
6700.0,38.78,143.11,6524.64,6396.64,458.42,-590.74,1.95
